method,shot_count,adaptation,data_seed,trajectory_count,observed_training_state_count,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,forecast_instability_fraction,mean_restricted_nrmse_auc_native,mean_restricted_nrmse_auc_0_1LT,mean_restricted_nrmse_auc_0_2LT,mean_restricted_nrmse_auc_0_5LT,mean_coordinate_point_crps_native,adaptation_wall_time_seconds,forecast_wall_time_seconds,optimizer_updates,vector_field_evaluations,surrogate_evaluations,parameter_count,trainable_parameter_count,inference_peak_gpu_memory_bytes,probabilistic,forecast_sample_count
sindy_weak_weighted,1,fit_from_scratch,4,128,640,4.821154721763932,5.0,0.7734375,0.0,0.0040302637986139,0.002206096320257,0.0077188776355592,0.0533984481973283,0.0035442029562497,0.0039460901170969,1.1642868425697088,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,16,fit_from_scratch,4,128,10240,4.924240536374474,5.0,0.90625,0.0,0.001084199039641,0.0006697072210312,0.0044078837159989,0.0202315676928619,0.0009472234401265,0.0469991490244865,1.1551013104617596,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,4,fit_from_scratch,4,128,2560,4.925771919327799,5.0,0.875,0.0,0.0012200887072644,0.0008071772751097,0.0045751172563931,0.0221447798596212,0.0010682169077525,0.0125428717583417,1.1571710258722303,1,2856960,0,30,30,0,False,1
panda,0,zero_shot,5,128,0,2.2738074197384903,2.1876734852180637,0.0,0.0,0.1006103864049353,0.084604239720585,0.1791866424081465,0.6224425152509134,0.0883095455619533,0.0,1.428563691675663,0,0,40,21354624,0,127336960,False,1
panda,1,prediction_head_only,5,128,640,2.274021505739784,2.1876734852180637,0.0,0.0,0.1006089246685499,0.0846024531347583,0.1791777486217112,0.622455836397459,0.0883089836806951,0.3206388931721449,0.6175248082727194,1,0,40,21354624,65536,127336960,False,1
panda,16,prediction_head_only,5,128,10240,2.33106722984844,2.269882509714776,0.0078125,0.0,0.1012066527535669,0.0852345480732979,0.1759653455071803,0.6220151892411514,0.0888958174150499,0.9725684281438588,0.7296577859669924,50,0,40,21354624,65536,127336960,False,1
panda,4,prediction_head_only,5,128,2560,2.305162823691924,2.1922406532456584,0.0078125,0.0,0.1004487460334795,0.0844496777753852,0.1801039637857591,0.6270341919561332,0.0881839051577907,0.3928147032856941,0.6544666383415461,1,0,40,21354624,65536,127336960,False,1
sindy_weak,1,fit_from_scratch,5,128,640,4.875165165730085,5.0,0.8515625,0.0,0.0014614830355069,0.0011329108257462,0.0036155145259048,0.0353896035647892,0.0012934932807707,0.0036763623356819,1.173314170911908,1,2856960,0,30,30,0,False,1
sindy_weak,16,fit_from_scratch,5,128,10240,4.900164056465021,5.0,0.8984375,0.0,0.0008636626820437,0.0006474668467551,0.002126497215883,0.0204407682583475,0.0007642340168359,0.0466187410056591,1.1670329440385103,1,2856960,0,30,30,0,False,1
sindy_weak,4,fit_from_scratch,5,128,2560,4.913865560547806,5.0,0.8984375,0.0,0.0008422786310609,0.0006302313903315,0.002184221398595,0.0203735264187937,0.0007448936997391,0.0122171137481927,1.2016272600740194,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,1,fit_from_scratch,5,128,640,4.844742762962379,5.0,0.8046875,0.0,0.0013539694954851,0.0010347067185053,0.0037652278796811,0.0421123725423911,0.0011962449855875,0.0042949561029672,1.1759817991405723,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,16,fit_from_scratch,5,128,10240,4.932760100189931,5.0,0.9140625,0.0,0.0008532194309304,0.0006452450655925,0.0020782523288254,0.0197109324677169,0.0007545351027302,0.0475536398589611,1.1492572538554668,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,4,fit_from_scratch,5,128,2560,4.9112526522960005,5.0,0.90625,0.0,0.0008982198728542,0.0007229327989471,0.0019450473718487,0.0253228516711083,0.0007923332153133,0.0125370826572179,1.1634195316582918,1,2856960,0,30,30,0,False,1
