method,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed,track,noise_level
solver_oracle,nrmse_auc_0_5LT,1.278511008162367e-12,1.085436622864658e-12,1.5067921344606687e-12,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,stability_fraction,1.0,1.0,1.0,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,rq_mmd,0.0005807670202734401,0.0005047934500910002,0.0006517175773963798,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,wasserstein_x,2.4683238286832436e-05,2.151694646233977e-05,2.7618064287081178e-05,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,wasserstein_y,3.7539435542530496e-05,3.199888678650324e-05,4.307573768856915e-05,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,wasserstein_z,4.0746160973895264e-05,3.501777896422521e-05,4.6474542983565326e-05,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,covariance_relative_error,7.808616751649166e-07,5.961494564243232e-07,9.710539393559997e-07,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,lyapunov_spectrum_relative_error,0.005173445603708701,0.0040381789749224396,0.006885703894925039,10000,2026,known_physics_forward_surrogate,0.0
pinn_strong,training_wall_time_seconds,36.854380341619255,35.03049670455356,38.93008268233078,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak,training_wall_time_seconds,22.259900961940488,20.766241956021016,24.47839137671515,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak_tapered,training_wall_time_seconds,30.043080800647537,24.893757419077062,41.55647110826336,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,training_wall_time_seconds,0.0,0.0,0.0,10000,2026,known_physics_forward_surrogate,0.0
pinn_strong,inference_seconds_per_trajectory,0.00048127429715043323,0.0004395471641085464,0.000523224375695717,10000,2026,known_physics_forward_surrogate,0.0
pinn_weak,inference_seconds_per_trajectory,0.00047176702355495334,0.0004367755698330746,0.0005078893325844138,10000,2026,known_physics_forward_surrogate,0.0
